Area_code,State,Profit,Margin,Sales,COGS,Total_expenses,Marketing,Inventory,Date,Product_Type
203,Connecticut,107,176,292,116,69,38,962,04-01-2010,Coffee
203,Connecticut,75,135,225,90,60,29,1148,07-01-2010,Coffee
203,Connecticut,122,195,325,130,73,42,1134,11-01-2010,Coffee
203,Connecticut,105,174,289,115,69,37,1166,12-01-2010,Coffee
203,Connecticut,104,135,223,90,56,29,1148,07-01-2011,Coffee
203,Connecticut,104,135,223,90,56,29,1139,08-01-2011,Coffee
203,Connecticut,135,155,275,103,64,33,1130,09-01-2011,Coffee
203,Connecticut,171,188,334,125,73,41,1119,10-01-2011,Coffee
203,Connecticut,181,195,346,130,73,42,1134,11-01-2011,Coffee
203,Connecticut,15,31,51,20,16,5,804,06-01-2010,Tea
203,Connecticut,33,54,90,36,21,10,809,11-01-2010,Tea
203,Connecticut,17,28,47,19,15,5,811,08-01-2011,Tea
203,Connecticut,27,36,64,24,18,6,806,10-01-2011,Tea
203,Connecticut,49,54,96,36,21,10,809,11-01-2011,Tea
203,Connecticut,-2,75,128,53,77,48,597,06-01-2010,Espresso
203,Connecticut,1,84,144,60,83,54,606,10-01-2010,Espresso
203,Connecticut,2,86,147,61,84,55,613,11-01-2010,Espresso
203,Connecticut,11,105,201,75,103,68,522,01-01-2011,Espresso
203,Connecticut,4,90,165,65,87,58,513,02-01-2011,Espresso
203,Connecticut,0,87,160,63,87,57,506,03-01-2011,Espresso
203,Connecticut,0,87,160,63,87,57,521,04-01-2011,Espresso
203,Connecticut,4,90,153,64,81,58,551,05-01-2011,Espresso
203,Connecticut,3,87,159,62,85,56,612,09-01-2011,Espresso
203,Connecticut,-3,76,140,55,78,49,627,12-01-2011,Espresso
203,Connecticut,29,75,130,55,46,18,305,02-01-2010,Espresso
203,Connecticut,22,65,113,48,43,15,334,05-01-2010,Espresso
203,Connecticut,16,57,100,43,41,14,388,07-01-2010,Espresso
203,Connecticut,16,56,98,42,40,13,384,08-01-2010,Espresso
